grid_id,external_id_type,external_id
grid.3532.7,ISNI,0000 0001 1266 2261
grid.3532.7,FundRef,100000192
grid.3575.4,ISNI,0000000121633745
grid.3575.4,FundRef,100004423
grid.3613.7,ISNI,0000 0000 9474 6233
grid.3613.7,FundRef,100006719
grid.4241.3,ISNI,0000 0001 2185 9808
grid.4269.9,ISNI,0000 0004 0627 8353
grid.4280.e,ISNI,0000 0001 2180 6431
grid.4280.e,FundRef,501100001361
grid.4280.e,FundRef,501100001352
grid.4280.e,FundRef,501100001351
grid.4293.c,ISNI,0000 0004 1792 8585
grid.4293.c,FundRef,501100005184
grid.4299.6,ISNI,0000 0001 2169 3852
grid.4299.6,FundRef,501100001822
grid.4305.2,ISNI,0000 0004 1936 7988
grid.4305.2,FundRef,501100000635
grid.4305.2,HESA,0167
grid.4305.2,HESA,0096
grid.4305.2,UCAS,E56
grid.4305.2,UKPRN,10007790
grid.4319.f,ISNI,0000 0004 0448 3150
grid.4332.6,ISNI,0000 0000 9799 7097
grid.4336.2,ISNI,0000 0001 2237 3826
grid.4347.4,ISNI,0000000119394239
grid.4365.4,ISNI,0000 0004 0640 9448
grid.4367.6,ISNI,0000 0001 2355 7002
grid.4367.6,FundRef,100007930
grid.4367.6,FundRef,100007268
grid.4372.2,ISNI,0000 0001 2105 1091
grid.4372.2,FundRef,501100004189
grid.4391.f,ISNI,0000 0001 2112 1969
grid.4399.7,ISNI,0000000122879528
grid.4422.0,ISNI,0000 0001 2152 3263
grid.4422.0,FundRef,501100004195
grid.4425.7,ISNI,0000 0004 0368 0654
grid.4425.7,FundRef,501100004144
grid.4425.7,HESA,0065
grid.4425.7,UCAS,L51
grid.4425.7,UKPRN,10003957
grid.4437.4,ISNI,0000 0001 0505 4321
grid.4444.0,ISNI,0000 0001 2112 9282
grid.4444.0,FundRef,501100004794
grid.4461.7,ISNI,0000 0001 2186 1211
grid.4462.4,ISNI,0000 0001 2176 9482
grid.4463.5,ISNI,0000 0001 0558 8585
grid.4464.2,ISNI,0000 0001 2161 2573
grid.4464.2,HESA,0151
grid.4464.2,UKPRN,10007797
grid.4466.0,ISNI,0000 0001 0578 5482
grid.4488.0,ISNI,0000 0001 2111 7257
grid.4488.0,FundRef,501100002957
grid.4489.1,ISNI,0000000121678994
grid.4491.8,ISNI,0000 0004 1937 116X
grid.4491.8,FundRef,100007397
grid.4491.8,FundRef,100007543
grid.4494.d,ISNI,0000 0000 9558 4598
grid.4494.d,FundRef,501100005075
grid.4495.c,ISNI,0000 0001 1090 049X
grid.4514.4,ISNI,0000 0001 0930 2361
grid.4514.4,FundRef,501100003252
grid.4514.4,FundRef,501100004817
grid.4521.2,ISNI,0000 0004 1769 9380
grid.4527.4,ISNI,0000000106678902
grid.4551.5,ISNI,0000 0001 2109 901X
grid.4556.2,ISNI,0000 0004 0493 9031
grid.4561.6,ISNI,0000 0000 9261 3939
grid.4561.6,FundRef,501100003185
grid.4562.5,ISNI,0000 0001 0057 2672
