geonames_city_id,city,nuts_level1_code,nuts_level1_name,nuts_level1_ascii_name,nuts_level2_code,nuts_level2_name,nuts_level2_ascii_name,nuts_level3_code,nuts_level3_name,nuts_level3_ascii_name,geonames_admin1_code,geonames_admin1_name,geonames_admin1_ascii_name,geonames_admin2_code,geonames_admin2_name,geonames_admin2_ascii_name
3027162,Champenoux,FR4,Est,Est,FR41,Lorraine,Lorraine,FR411,Meurthe-et-Moselle,Meurthe-et-Moselle,FR.B2,Lorraine,Lorraine,FR.B2.54,Département de Meurthe-et-Moselle,Departement de Meurthe-et-Moselle
4884116,Barrington,,,,,,,,,,US.IL,Illinois,Illinois,US.IL.031,Cook County,Cook County
2978891,Saint-Laurent-du-Var,FR8,Méditerranée,Mediterranee,FR82,Provence-Alpes-Côte d'Azur,Provence-Alpes-Cote d'Azur,FR823,Alpes-Maritimes,Alpes-Maritimes,FR.B8,Provence-Alpes-Côte d'Azur,Provence-Alpes-Cote d'Azur,FR.B8.06,Département des Alpes-Maritimes,Departement des Alpes-Maritimes
2400555,Franceville,,,,,,,,,,GA.02,Haut-Ogooué,Haut-Ogooue,,,
2362344,Bobo-Dioulasso,,,,,,,,,,BF.09,High-Basins,High-Basins,BF.09.51,Province du Houet,Province du Houet
3033415,Berck,FR3,Nord - Pas-de-Calais,Nord - Pas-de-Calais,FR30,Nord - Pas-de-Calais,Nord - Pas-de-Calais,FR302,Pas-de-Calais,Pas-de-Calais,FR.B4,Nord-Pas-de-Calais,Nord-Pas-de-Calais,FR.B4.62,Département du Pas-de-Calais,Departement du Pas-de-Calais
2995206,Massy,FR1,Île de France,Ile de France,FR10,Île de France,Ile de France,FR104,Essonne,Essonne,FR.A8,Île-de-France,Ile-de-France,FR.A8.91,Département de l'Essonne,Departement de l'Essonne
747014,Gebze,TR4,Dogu Marmara,Dogu Marmara,TR42,Kocaeli,Kocaeli,TR421,Kocaeli,Kocaeli,TR.41,Kocaeli,Kocaeli,,,
5128824,Niskayuna,,,,,,,,,,US.NY,New York,New York,US.NY.093,Schenectady County,Schenectady County
2676176,Södertälje,SE1,Östra Sverige,Ostra Sverige,SE11,Stockholm,Stockholm,SE110,Stockholms län,Stockholms lan,SE.26,Stockholm,Stockholm,SE.26.0181,Södertälje Kommun,Sodertalje Kommun
2966839,Athlone,IE0,Ireland,Ireland,IE01,"Border, Midland and Western","Border, Midland and Western",IE012,Midland,Midland,IE.L,Leinster,Leinster,IE.L.29,An Iarmhí,An Iarmhi
2745634,Venray,NL4,Zuid-Nederland,Zuid-Nederland,NL42,Limburg (NL),Limburg (NL),NL421,Noord-Limburg,Noord-Limburg,NL.05,Limburg,Limburg,NL.05.0984,Gemeente Venray,Gemeente Venray
5102076,Nutley,,,,,,,,,,US.NJ,New Jersey,New Jersey,US.NJ.013,Essex County,Essex County
4907907,Rock Island,,,,,,,,,,US.IL,Illinois,Illinois,US.IL.161,Rock Island County,Rock Island County
4952078,Stockbridge,,,,,,,,,,US.MA,Massachusetts,Massachusetts,US.MA.003,Berkshire County,Berkshire County
2176373,Belconnen,,,,,,,,,,AU.01,Australian Capital Territory,Australian Capital Territory,,,
5272873,Shawano,,,,,,,,,,US.WI,Wisconsin,Wisconsin,US.WI.115,Shawano County,Shawano County
2945995,Borstel,DE9,Niedersachsen,Niedersachsen,DE92,Hannover,Hannover,DE922,Diepholz,Diepholz,DE.06,Lower Saxony,Lower Saxony,,,
2934635,Dummerstorf,DE8,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,DE80,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,DE807,Bad Doberan,Bad Doberan,DE.12,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,,,
3043927,Tihany,HU2,Dunántúl,Dunantul,HU21,Közép-Dunántúl,Kozep-Dunantul,HU213,Veszprém,Veszprem,HU.23,Veszprém,Veszprem,,,
4360369,Laurel,,,,,,,,,,US.MD,Maryland,Maryland,US.MD.033,Prince George's County,Prince George's County
2809346,Wiesbaden,DE7,Hessen,Hessen,DE71,Darmstadt,Darmstadt,DE714,"Wiesbaden, Kreisfreie Stadt","Wiesbaden, Kreisfreie Stadt",DE.05,Hesse,Hesse,DE.05.064,Regierungsbezirk Darmstadt,Regierungsbezirk Darmstadt
5350159,Foster City,,,,,,,,,,US.CA,California,California,US.CA.081,San Mateo County,San Mateo County
4889668,Deerfield,,,,,,,,,,US.IL,Illinois,Illinois,US.IL.097,Lake County,Lake County
5098095,Florham Park,,,,,,,,,,US.NJ,New Jersey,New Jersey,US.NJ.027,Morris County,Morris County
2654787,Brentford,UKI,London,London,UKI2,Outer London,Outer London,UKI23,Outer London - West and North West,Outer London - West and North West,GB.ENG,England,England,GB.ENG.GLA,Greater London,Greater London
3628550,San Antonio de Los Altos,,,,,,,,,,VE.15,Miranda,Miranda,VE.15.1513,Municipio Los Salias,Municipio Los Salias
5278897,Whitefish Bay,,,,,,,,,,US.WI,Wisconsin,Wisconsin,US.WI.079,Milwaukee County,Milwaukee County
5330582,Brea,,,,,,,,,,US.CA,California,California,US.CA.059,Orange County,Orange County
5098242,Franklin Lakes,,,,,,,,,,US.NJ,New Jersey,New Jersey,US.NJ.003,Bergen County,Bergen County
4938697,Hamilton,,,,,,,,,,US.MA,Massachusetts,Massachusetts,US.MA.027,Worcester County,Worcester County
4267733,Atchison,,,,,,,,,,US.KS,Kansas,Kansas,US.KS.005,Atchison County,Atchison County
2990611,Neuilly-sur-Seine,FR1,Île de France,Ile de France,FR10,Île de France,Ile de France,FR105,Hauts-de-Seine,Hauts-de-Seine,FR.A8,Île-de-France,Ile-de-France,FR.A8.92,Département des Hauts-de-Seine,Departement des Hauts-de-Seine
2650047,Elstree,UKH,East of England,East of England,UKH2,Bedfordshire and Hertfordshire,Bedfordshire and Hertfordshire,UKH23,Hertfordshire,Hertfordshire,GB.ENG,England,England,GB.ENG.F8,Hertfordshire,Hertfordshire
