grid_id,relationship_type,related_grid_id
grid.1491.d,Child,grid.416530.5
grid.1491.d,Child,grid.460774.6
grid.1491.d,Child,grid.416562.2
grid.1623.6,Affiliated,grid.267362.4
grid.1623.6,Affiliated,grid.1002.3
grid.1649.a,Affiliated,grid.8761.8
grid.1649.a,Child,grid.415579.b
grid.1694.a,Affiliated,grid.1014.4
grid.1694.a,Affiliated,grid.1010.0
grid.1694.a,Affiliated,grid.1026.5
grid.1957.a,Affiliated,grid.461740.0
grid.1957.a,Affiliated,grid.412301.5
grid.2294.d,Affiliated,grid.422958.0
grid.2515.3,Affiliated,grid.66859.34
grid.2515.3,Affiliated,grid.65499.37
grid.2515.3,Affiliated,grid.38142.3c
grid.2865.9,Parent,grid.239134.e
grid.3006.5,Child,grid.460685.9
grid.3521.5,Affiliated,grid.266886.4
grid.3521.5,Affiliated,grid.1012.2
grid.3532.7,Parent,grid.239119.1
grid.3532.7,Child,grid.436457.7
grid.3532.7,Child,grid.454027.0
grid.3532.7,Child,grid.436459.9
grid.3532.7,Child,grid.454017.3
grid.3532.7,Child,grid.454123.5
grid.3532.7,Child,grid.423024.3
grid.3532.7,Child,grid.454025.2
grid.3532.7,Child,grid.417757.7
grid.3532.7,Child,grid.453887.5
grid.3532.7,Child,grid.454034.2
grid.3532.7,Child,grid.448384.7
grid.3532.7,Child,grid.423033.5
grid.3532.7,Child,grid.454206.1
grid.3532.7,Child,grid.422703.0
grid.3532.7,Child,grid.410486.f
grid.3532.7,Child,grid.422702.1
grid.3532.7,Child,grid.423022.5
grid.3532.7,Child,grid.420437.6
grid.3532.7,Child,grid.238398.b
grid.3532.7,Child,grid.448469.3
grid.3532.7,Child,grid.454120.6
grid.3532.7,Child,grid.454122.4
grid.3532.7,Child,grid.420104.3
grid.3532.7,Child,grid.423025.2
grid.3532.7,Child,grid.454039.f
grid.3532.7,Child,grid.422706.5
grid.3532.7,Child,grid.437970.e
grid.3532.7,Child,grid.454042.3
grid.3532.7,Child,grid.454119.c
grid.3532.7,Child,grid.454104.0
grid.3532.7,Child,grid.454031.7
grid.3532.7,Child,grid.454021.6
grid.3532.7,Child,grid.454126.0
grid.3575.4,Child,grid.282968.f
grid.4280.e,Affiliated,grid.412106.0
grid.4280.e,Affiliated,grid.429485.6
grid.4280.e,Affiliated,grid.452673.1
grid.4293.c,Child,grid.437046.2
grid.4293.c,Child,grid.437049.d
grid.4293.c,Child,grid.436940.c
grid.4293.c,Child,grid.437052.7
grid.4293.c,Child,grid.436939.2
grid.4293.c,Child,grid.437044.0
grid.4299.6,Child,grid.418729.1
grid.4299.6,Child,grid.24194.3a
grid.4299.6,Child,grid.418629.0
grid.4299.6,Child,grid.450303.1
grid.4299.6,Child,grid.450258.e
grid.4299.6,Child,grid.417521.4
grid.4299.6,Child,grid.426424.2
grid.4305.2,Affiliated,grid.418716.d
grid.4305.2,Affiliated,grid.415571.3
grid.4305.2,Affiliated,grid.416425.0
grid.4305.2,Affiliated,grid.449997.e
grid.4305.2,Affiliated,grid.417068.c
grid.4319.f,Child,grid.71869.31
grid.4319.f,Child,grid.410353.0
grid.4367.6,Affiliated,grid.239359.7
grid.4367.6,Affiliated,grid.410523.1
grid.4367.6,Affiliated,grid.416775.6
grid.4367.6,Affiliated,grid.411019.c
grid.4372.2,Child,grid.428090.7
grid.4372.2,Child,grid.438114.b
grid.4372.2,Child,grid.452408.f
grid.4372.2,Child,grid.461715.0
grid.4372.2,Child,grid.418026.9
grid.4372.2,Child,grid.418028.7
grid.4372.2,Child,grid.450323.3
grid.4372.2,Child,grid.431460.4
grid.4372.2,Child,grid.421185.b
grid.4372.2,Child,grid.429508.2
grid.4372.2,Child,grid.452596.9
grid.4372.2,Child,grid.419500.9
grid.4372.2,Child,grid.419501.8
grid.4372.2,Child,grid.419580.1
grid.4372.2,Child,grid.419502.b
grid.4372.2,Child,grid.418140.8
grid.4372.2,Child,grid.419494.5
grid.4372.2,Child,grid.419505.c
grid.4372.2,Child,grid.418160.a
grid.4372.2,Child,grid.419576.8
grid.4372.2,Child,grid.419507.e
grid.4372.2,Child,grid.419509.0
grid.4372.2,Child,grid.419607.d
grid.4372.2,Child,grid.461768.a
grid.4372.2,Child,grid.461770.3
grid.4372.2,Child,grid.419511.9
grid.4372.2,Child,grid.419495.4
grid.4372.2,Child,grid.419514.c
grid.4372.2,Child,grid.419517.f
grid.4372.2,Child,grid.461782.e
grid.4372.2,Child,grid.461787.b
grid.4372.2,Child,grid.419518.0
grid.4372.2,Child,grid.419520.b
grid.4372.2,Child,grid.419522.9
grid.4372.2,Child,grid.450265.0
grid.4372.2,Child,grid.461774.7
grid.4372.2,Child,grid.450243.4
grid.4372.2,Child,grid.418032.c
grid.4372.2,Child,grid.419524.f
grid.4372.2,Child,grid.419526.d
grid.4372.2,Child,grid.418159.0
grid.4372.2,Child,grid.419528.3
grid.4372.2,Child,grid.419534.e
grid.4372.2,Child,grid.13829.31
grid.4372.2,Child,grid.419529.2
grid.4372.2,Child,grid.461798.5
grid.4372.2,Child,grid.419532.8
grid.4372.2,Child,grid.418034.a
grid.4372.2,Child,grid.450268.d
grid.4372.2,Child,grid.461801.a
grid.4372.2,Child,grid.419538.2
grid.4372.2,Child,grid.418390.7
grid.4372.2,Child,grid.419604.e
grid.4372.2,Child,grid.419542.f
grid.4372.2,Child,grid.435824.c
grid.4372.2,Child,grid.419498.9
grid.4372.2,Child,grid.419547.a
grid.4372.2,Child,grid.419550.c
grid.4372.2,Child,grid.450267.2
grid.4372.2,Child,grid.461813.9
grid.4372.2,Child,grid.461785.9
grid.4372.2,Child,grid.435826.e
grid.4372.2,Child,grid.419552.e
grid.4372.2,Child,grid.461808.3
grid.4372.2,Child,grid.419554.8
grid.4372.2,Child,grid.419556.a
grid.4372.2,Child,grid.419560.f
grid.4372.2,Child,grid.419562.d
grid.4372.2,Child,grid.461792.f
grid.4372.2,Child,grid.418615.f
grid.4372.2,Child,grid.419564.b
grid.4372.2,Child,grid.431464.0
grid.4372.2,Child,grid.429509.3
grid.4372.2,Child,grid.450270.4
grid.4372.2,Child,grid.419537.d
grid.4372.2,Child,grid.418441.c
grid.4372.2,Child,grid.429510.b
grid.4372.2,Child,grid.461804.f
grid.4372.2,Child,grid.419548.5
grid.4372.2,Child,grid.450272.6
grid.4372.2,Child,grid.457402.0
grid.4372.2,Child,grid.419089.d
grid.4425.7,Affiliated,grid.452080.b
grid.4425.7,Affiliated,grid.413582.9
grid.4425.7,Affiliated,grid.415992.2
grid.4444.0,Affiliated,grid.461605.0
grid.4444.0,Child,grid.457026.2
grid.4444.0,Child,grid.457027.3
grid.4444.0,Child,grid.457024.0
grid.4444.0,Child,grid.457022.6
grid.4444.0,Child,grid.457028.c
grid.4444.0,Child,grid.457030.5
grid.4444.0,Child,grid.457019.e
grid.4444.0,Child,grid.433123.4
grid.4444.0,Child,grid.457079.8
grid.4444.0,Child,grid.433120.7
grid.4444.0,Child,grid.457025.1
grid.4444.0,Child,grid.457021.5
grid.4444.0,Child,grid.457020.4
grid.4444.0,Child,grid.457080.e
grid.4444.0,Child,grid.457023.7
grid.4444.0,Child,grid.457095.a
grid.4444.0,Child,grid.457096.9
grid.4444.0,Child,grid.428531.9
grid.4444.0,Child,grid.457029.d
grid.4444.0,Child,grid.433124.3
grid.4444.0,Child,grid.452348.c
grid.4444.0,Child,grid.457012.5
grid.4444.0,Child,grid.435241.5
grid.4444.0,Child,grid.457018.f
grid.4444.0,Child,grid.456999.e
grid.4444.0,Child,grid.457015.2
grid.4444.0,Child,grid.457016.1
grid.4444.0,Child,grid.457014.3
grid.4444.0,Child,grid.457017.0
grid.4444.0,Child,grid.457013.4
grid.4461.7,Parent,grid.412304.0
grid.4462.4,Affiliated,grid.416552.1
grid.4462.4,Affiliated,grid.416479.9
grid.4464.2,Affiliated,grid.412933.e
grid.4464.2,Child,grid.88379.3d
grid.4464.2,Child,grid.424182.9
grid.4464.2,Child,grid.15874.3f
grid.4464.2,Child,grid.18886.3f
grid.4464.2,Child,grid.13097.3c
grid.4464.2,Child,grid.453664.6
grid.4464.2,Child,grid.14868.33
grid.4464.2,Child,grid.13063.37
grid.4464.2,Child,grid.8991.9
grid.4464.2,Child,grid.4868.2
grid.4464.2,Child,grid.421653.7
grid.4464.2,Child,grid.417786.b
grid.4464.2,Child,grid.4970.a
grid.4464.2,Child,grid.20931.39
grid.4464.2,Child,grid.22631.34
grid.4464.2,Child,grid.264200.2
grid.4464.2,Child,grid.83440.3b
grid.4488.0,Affiliated,grid.460801.b
grid.4488.0,Affiliated,grid.413263.1
grid.4488.0,Affiliated,grid.412282.f
grid.4489.1,Affiliated,grid.459499.c
grid.4489.1,Affiliated,grid.413563.6
grid.4489.1,Affiliated,grid.411070.3
grid.4489.1,Affiliated,grid.411380.f
grid.4491.8,Affiliated,grid.412826.b
grid.4494.d,Affiliated,grid.4830.f
grid.4514.4,Affiliated,grid.411843.b
grid.4527.4,Parent,grid.414603.4
grid.4527.4,Parent,grid.410531.2
grid.4561.6,Child,grid.418018.4
grid.4561.6,Child,grid.424890.3
grid.4561.6,Child,grid.438107.9
grid.4561.6,Child,grid.418688.b
grid.4561.6,Child,grid.418007.a
grid.4561.6,Child,grid.461615.1
grid.4561.6,Child,grid.418008.5
grid.4561.6,Child,grid.461622.5
grid.4561.6,Child,grid.461616.2
grid.4561.6,Child,grid.461618.c
grid.4561.6,Child,grid.424428.c
grid.4561.6,Child,grid.461619.d
grid.4561.6,Child,grid.461627.0
grid.4561.6,Child,grid.461635.3
grid.4561.6,Child,grid.461628.f
grid.4561.6,Child,grid.461651.1
grid.4561.6,Child,grid.461617.3
grid.4561.6,Child,grid.461641.0
grid.4561.6,Child,grid.461645.4
grid.4561.6,Child,grid.418010.c
grid.4561.6,Child,grid.461631.7
grid.4561.6,Child,grid.461634.2
grid.4561.6,Child,grid.424644.4
grid.4561.6,Child,grid.434479.9
grid.4561.6,Child,grid.434481.e
grid.4561.6,Child,grid.459551.9
grid.4561.6,Child,grid.418009.4
grid.4561.6,Child,grid.428590.2
grid.4561.6,Child,grid.422955.d
grid.4561.6,Child,grid.426697.8
grid.4561.6,Child,grid.434477.7
grid.4561.6,Child,grid.435231.2
grid.4561.6,Child,grid.424642.2
grid.4561.6,Child,grid.8440.8
grid.4561.6,Child,grid.421579.c
grid.4561.6,Child,grid.28894.3f
grid.4562.5,Affiliated,grid.37828.36
grid.4563.4,Affiliated,grid.454381.f
grid.4563.4,Affiliated,grid.454380.e
grid.4563.4,Affiliated,grid.412920.c
grid.4563.4,Affiliated,grid.240404.6
grid.4563.4,Affiliated,grid.415598.4
grid.4563.4,Affiliated,grid.413619.8
grid.4563.4,Affiliated,grid.440435.2
grid.4567.0,Parent,grid.211011.2
